id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,Phản hồi ban đầu (first response): 15 phút kể từ khi ticket được tạo. Xử lý và khắc phục (resolution): 4 giờ. [1],Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,Lexical grounding ratio=1.00,3,Query-answer overlap=0.38,5,Retrieved: 1/1 expected sources,4,Expected keyword coverage=0.73,baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng được quyền yêu cầu hoàn tiền khi đáp ứng đủ các điều kiện sau: Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng. [1],Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,Lexical grounding ratio=1.00,5,Query-answer overlap=0.67,5,Retrieved: 1/1 expected sources,5,Expected keyword coverage=0.94,baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,Phê duyệt: Line Manager + IT Admin + IT Security. [2],"Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,Lexical grounding ratio=1.00,2,Query-answer overlap=0.22,5,Retrieved: 1/1 expected sources,3,Expected keyword coverage=0.60,baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription). Ngoại lệ không được hoàn tiền: [1]","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",5,Lexical grounding ratio=1.00,5,Query-answer overlap=0.90,5,Retrieved: 1/1 expected sources,5,Expected keyword coverage=0.83,baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,A: Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Q: Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai? [1],Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,Lexical grounding ratio=0.94,5,Query-answer overlap=1.00,5,Retrieved: 1/1 expected sources,5,Expected keyword coverage=1.00,baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Q: Laptop bị hỏng phải báo cáo như thế nào? Ví dụ: Khẩn cấp trong sự cố P1, cần cấp quyền tạm thời để fix incident. [1]",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,Lexical grounding ratio=1.00,5,Query-answer overlap=0.70,5,Retrieved: 1/1 expected sources,1,Expected keyword coverage=0.07,baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,Tài liệu này quy định quy trình cấp phép truy cập vào các hệ thống nội bộ của công ty. Escalation chỉ áp dụng khi cần thay đổi quyền hệ thống ngoài quy trình thông thường. [2],Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,Lexical grounding ratio=1.00,4,Query-answer overlap=0.55,5,Retrieved: 1/1 expected sources,1,Expected keyword coverage=0.15,baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần. Bước 1: Nhân viên gửi yêu cầu nghỉ phép qua hệ thống HR Portal (https://hr.company.internal) ít nhất 3 ngày làm việc trước ngày nghỉ. [1],"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,Lexical grounding ratio=1.00,5,Query-answer overlap=0.73,5,Retrieved: 1/1 expected sources,3,Expected keyword coverage=0.58,baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Không đủ dữ liệu trong tài liệu hiện có để trả lời chính xác câu hỏi này.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,"Model abstained, low hallucination risk",4,Abstain response,,No expected sources,1,Expected keyword coverage=0.26,baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Không đủ dữ liệu trong tài liệu hiện có để trả lời chính xác câu hỏi này.,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",5,"Model abstained, low hallucination risk",4,Abstain response,5,Retrieved: 1/1 expected sources,1,Expected keyword coverage=0.19,baseline_dense
q01,SLA,SLA xử lý ticket P1 là bao lâu?,Không đủ dữ liệu trong tài liệu hiện có để trả lời chính xác câu hỏi này.,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,"Model abstained, low hallucination risk",3,Abstain response,5,Retrieved: 1/1 expected sources,1,Expected keyword coverage=0.00,variant_hybrid_rerank
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng được quyền yêu cầu hoàn tiền khi đáp ứng đủ các điều kiện sau: Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng. [1],Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,Lexical grounding ratio=1.00,5,Query-answer overlap=0.67,5,Retrieved: 1/1 expected sources,5,Expected keyword coverage=0.94,variant_hybrid_rerank
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,Bước 2: Line Manager phê duyệt yêu cầu trong 1 ngày làm việc. [2],"Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,Lexical grounding ratio=1.00,2,Query-answer overlap=0.22,5,Retrieved: 1/1 expected sources,2,Expected keyword coverage=0.40,variant_hybrid_rerank
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription). Ngoại lệ không được hoàn tiền: [1]","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",5,Lexical grounding ratio=1.00,5,Query-answer overlap=0.90,5,Retrieved: 1/1 expected sources,5,Expected keyword coverage=0.83,variant_hybrid_rerank
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,A: Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Q: Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai? [1],Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,Lexical grounding ratio=0.94,5,Query-answer overlap=1.00,5,Retrieved: 1/1 expected sources,5,Expected keyword coverage=1.00,variant_hybrid_rerank
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,Không đủ dữ liệu trong tài liệu hiện có để trả lời chính xác câu hỏi này.,Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"Model abstained, low hallucination risk",3,Abstain response,5,Retrieved: 1/1 expected sources,1,Expected keyword coverage=0.13,variant_hybrid_rerank
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,Không đủ dữ liệu trong tài liệu hiện có để trả lời chính xác câu hỏi này.,Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,"Model abstained, low hallucination risk",3,Abstain response,5,Retrieved: 1/1 expected sources,1,Expected keyword coverage=0.23,variant_hybrid_rerank
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần. Chuyển năm sau: Tối đa 5 ngày phép năm chưa dùng được chuyển sang năm tiếp theo. [1],"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,Lexical grounding ratio=1.00,5,Query-answer overlap=0.82,5,Retrieved: 1/1 expected sources,3,Expected keyword coverage=0.63,variant_hybrid_rerank
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Không đủ dữ liệu trong tài liệu hiện có để trả lời chính xác câu hỏi này.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,"Model abstained, low hallucination risk",4,Abstain response,,No expected sources,1,Expected keyword coverage=0.26,variant_hybrid_rerank
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Không đủ dữ liệu trong tài liệu hiện có để trả lời chính xác câu hỏi này.,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",5,"Model abstained, low hallucination risk",4,Abstain response,5,Retrieved: 1/1 expected sources,1,Expected keyword coverage=0.19,variant_hybrid_rerank
